0,1
WIE96229.1,Mitragyna speciosa
CAI9115927.1,Oldenlandia corymbosa var. corymbosa
CAI9115928.1,Oldenlandia corymbosa var. corymbosa
XYA23380.1,Carapichea ipecacuanha
CAN8770570.1,Galium boreale
ASK39427.1,Swertia mussotii
AKI87774.1,Gentiana crassa subsp. rigescens
CAN8788750.1,Galium boreale
AKI87775.1,Gentiana crassa subsp. rigescens
KAK3011715.1,Escallonia herrerae
CAK9155403.1,Ilex paraguariensis
KAK2999198.1,Escallonia herrerae
KAL2471582.1,Abeliophyllum distichum
KAK2985645.1,Escallonia rubra
KAL2489276.1,Forsythia ovata
CAN8783576.1,Galium boreale
CAN8764763.1,Galium boreale
QOL71526.1,Valeriana jatamansi
KAL2489194.1,Forsythia ovata
CAI9771365.1,Fraxinus pennsylvanica
CAI9115926.1,Oldenlandia corymbosa var. corymbosa
ALV83438.1,Olea europaea subsp. europaea
QMS55274.1,Gardenia jasminoides
XP_022874521.1,Olea europaea var. sylvestris
CAA2998868.1,Olea europaea subsp. europaea
CAA2999133.1,Olea europaea subsp. europaea
XP_071924634.1,Coffea arabica
B2KPR3.1,Catharanthus roseus
6C8R_A,Catharanthus roseus
XHC56420.1,Ochrosia elliptica
QDD67562.1,Uncaria tomentosa
XYA23383.1,Carapichea ipecacuanha
WIE96233.1,Mitragyna speciosa
UYZ56985.1,Hamelia patens
KAL3508960.1,Cinchona calisaya
KAL3508959.1,Cinchona calisaya
KAL3502926.1,Cinchona calisaya
QWX38535.1,Ophiorrhiza pumila
CAI9089024.1,Oldenlandia corymbosa var. corymbosa
AMB61019.1,Lonicera japonica
KAM7503053.1,Lonicera macranthoides
KAM7497720.1,Lonicera macranthoides
CAN8781856.1,Galium boreale
CAN8777167.1,Galium boreale
CAN8800014.1,Galium boreale
KAK2966624.1,Escallonia rubra
KAK2983370.1,Escallonia rubra
KAK2998844.1,Escallonia herrerae
KAK3032509.1,Escallonia herrerae
KAM7497727.1,Lonicera macranthoides
KAM7503061.1,Lonicera macranthoides
XP_059664910.1,Cornus florida
XP_059664911.1,Cornus florida
XP_059665203.1,Cornus florida
CAI9089026.1,Oldenlandia corymbosa var. corymbosa
KAL6975998.1,Sarracenia purpurea var. burkii
WMS56963.1,Nothapodytes tomentosa
8WWQ_A,Gardenia jasminoides
QVL91739.1,Gardenia jasminoides
XAX32764.1,Gardenia jasminoides
XP_058208735.1,Rhododendron vialii
KAH7844450.1,Vaccinium darrowii
KAH7843294.1,Vaccinium darrowii
XP_058208733.1,Rhododendron vialii
XP_058208732.1,Rhododendron vialii
XP_071904222.1,Coffea arabica
KAK2987309.1,Escallonia rubra
KAF7144724.1,Rhododendron simsii
XP_058208727.1,Rhododendron vialii
CAI9089025.1,Oldenlandia corymbosa var. corymbosa
KAK9271711.1,Liquidambar formosana
XP_059664906.1,Cornus florida
KAF8407712.1,Tetracentron sinense
KAF8407701.1,Tetracentron sinense
CAK9177946.1,Ilex paraguariensis
KAF7146143.1,Rhododendron simsii
KAF7146302.1,Rhododendron simsii
ADP00410.1,Catharanthus roseus
W5U2K2.1,Catharanthus roseus
A0A8X8M501.1,Catharanthus roseus
AHH33093.1,Catharanthus roseus var. roseus
A0A075D5I4.1,Rauvolfia serpentina
A0A075D657.1,Vinca minor
A0A8X8M4T9.1,Catharanthus roseus
A0A075D6M1.1,Rauvolfia serpentina
AHH02778.1,Rauvolfia serpentina
AHH02783.1,Vinca minor
AHH02779.1,Rauvolfia serpentina
AHH02784.1,Vinca minor
AHH02785.1,Catharanthus roseus
KAI5647637.1,Catharanthus roseus
A0A8X8M505.1,Catharanthus roseus
A0A075D654.1,Rauvolfia serpentina
XP_059625110.1,Cornus florida
A0A8X8M4W6.1,Catharanthus roseus
XP_059659320.1,Cornus florida
XP_027097247.1,Coffea arabica
XP_027097246.1,Coffea arabica
KAJ1702801.1,Rhynchospora breviuscula
XP_059659319.1,Cornus florida
XP_071926494.1,Coffea arabica
XP_059625111.1,Cornus florida
XP_027097244.1,Coffea arabica
XP_023767658.1,Lactuca sativa
KAO1642913.1,Pilocarpus microphyllus
XP_059659322.1,Cornus florida
XP_078882444.1,Lactuca serriola
KAI3473263.1,Paulownia fortunei
XP_078837562.1,Lactuca saligna
XP_027100043.1,Coffea arabica
XP_027100044.1,Coffea arabica
KAJ4759028.1,Rhynchospora pubera
PIN08725.1,Handroanthus impetiginosus
KAJ4811470.1,Rhynchospora pubera
KAJ4746352.1,Rhynchospora pubera
XP_027151388.1,Coffea eugenioides
GMH19690.1,Nepenthes gracilis
CAN8666652.1,Galium boreale
KAL3839650.1,Penstemon smallii
XP_027151387.1,Coffea eugenioides
XP_027100042.1,Coffea arabica
KAI3473996.1,Paulownia fortunei
KAJ4799986.1,Rhynchospora pubera
MIM5516248.1,Unknown
WOL14136.1,Canna indica
KAJ3707098.1,Rhynchospora tenuis
CAN8661365.1,Galium boreale
A0A2P1GIW4.1,Catharanthus roseus
KAI5672618.1,Catharanthus roseus
YBV67930.1,Tabernanthe iboga
XHA77573.1,Mitragyna parvifolia
XHA77574.1,Mitragyna speciosa
XHA77576.1,Uncaria rhynchophylla
KAL3527495.1,Cinchona calisaya
XHA77575.1,Cephalanthus occidentalis
WNF20697.1,Mitragyna speciosa
YCO90883.1,Cinchona pubescens
GMY12060.1,Fagus crenata
KAL3527584.1,Cinchona calisaya
XP_071912772.1,Coffea arabica
CAR5610630.1,Unknown
KAJ8765636.1,Erythroxylum novogranatense
WNF20698.1,Mitragyna speciosa
XP_027079442.1,Coffea arabica
XP_027178562.1,Coffea eugenioides
KAK4585050.1,Quercus rubra
CAN8813361.1,Galium boreale
KAK9990921.1,Lithocarpus litseifolius
XP_027075677.2,Coffea arabica
XP_034677177.1,Vitis riparia
XP_027177663.1,Coffea eugenioides
XP_075652736.1,Castanea sativa
XP_030969046.1,Quercus lobata
KAF3946821.1,Castanea mollissima
KAK4585052.1,Quercus rubra
KAJ8771215.1,Erythroxylum novogranatense
KAK4585048.1,Quercus rubra
KAM3756810.1,Castanea mollissima
KAK4844323.1,Acer negundo
XP_030974480.1,Quercus lobata
CAN8813359.1,Galium boreale
KAM3708994.1,Castanea mollissima
KAF3950790.1,Castanea mollissima
KAL4644432.1,Castanea dentata
A0A2P1GIY9.1,Catharanthus roseus
XUJ55406.1,Amsonia tabernaemontana
A0A9E7S518.1,Alstonia scholaris
YBV67931.1,Tabernanthe iboga
A0A9E7S5B9.1,Alstonia scholaris
KAL3512469.1,Cinchona calisaya
KAI5673958.1,Catharanthus roseus
XP_027125634.2,Coffea arabica
XP_027167443.1,Coffea eugenioides
KAL3512470.1,Cinchona calisaya
KAL3512468.1,Cinchona calisaya
XP_071901954.1,Coffea arabica
KAL3512473.1,Cinchona calisaya
XP_027167445.1,Coffea eugenioides
KAL3512474.1,Cinchona calisaya
XP_027167446.1,Coffea eugenioides
KAL3507619.1,Cinchona calisaya
XP_027125636.1,Coffea arabica
XP_027122930.1,Coffea arabica
XP_027167444.1,Coffea eugenioides
CDP20573.1,Coffea canephora
XP_054812149.1,Prosopis cineraria
CDP20572.1,Coffea canephora
CAI9113271.1,Oldenlandia corymbosa var. corymbosa
CAI9113270.1,Oldenlandia corymbosa var. corymbosa
XP_028805520.1,Neltuma alba
CAI9113273.1,Oldenlandia corymbosa var. corymbosa
CDP20574.1,Coffea canephora
CAI9113261.1,Oldenlandia corymbosa var. corymbosa
CAI9113248.1,Oldenlandia corymbosa var. corymbosa
CAI9113260.1,Oldenlandia corymbosa var. corymbosa
CAI9113278.1,Oldenlandia corymbosa var. corymbosa
KAL9334803.1,Populus x canadensis
KAK4280623.1,Acacia crassicarpa
PIN18758.1,Handroanthus impetiginosus
XP_059647621.1,Cornus florida
KAK9277910.1,Liquidambar formosana
XP_042501615.1,Macadamia integrifolia
KAI5673959.1,Catharanthus roseus
XP_038680599.1,Tripterygium wilfordii
XP_027125635.2,Coffea arabica
XP_038687751.1,Tripterygium wilfordii
KAI9087327.1,Acacia pycnantha
XP_061956522.1,Populus nigra
XP_059643953.1,Cornus florida
KAI5568665.1,Populus trichocarpa
XP_011000749.1,Populus euphratica
KAJ9674295.1,Vitis rotundifolia
PIN18776.1,Handroanthus impetiginosus
XP_052301801.1,Populus trichocarpa
A0A2P1GIW7.1,Catharanthus roseus
YBV67932.1,Tabernanthe iboga
Q70PR7.2,Rauvolfia serpentina
KAI5655298.1,Catharanthus roseus
CAK9172568.1,Ilex paraguariensis
XP_059644671.1,Cornus florida
XP_059638881.1,Cornus florida
XP_059658977.1,Cornus florida
CAK9168613.1,Ilex paraguariensis
XP_071902017.1,Coffea arabica
XP_027169292.1,Coffea eugenioides
KAA8542165.1,Nyssa sinensis
CAK9172671.1,Ilex paraguariensis
XP_027169294.1,Coffea eugenioides
XP_071902536.1,Coffea arabica
PIN14892.1,Handroanthus impetiginosus
CDP15031.1,Coffea canephora
KAA8542163.1,Nyssa sinensis
XP_059644282.1,Cornus florida
XP_027162825.1,Coffea eugenioides
CDP08574.1,Coffea canephora
KAL3512591.1,Cinchona calisaya
XP_027109682.2,Coffea arabica
KAL3533129.1,Cinchona calisaya
KAI3472586.1,Paulownia fortunei
KAL2515212.1,Forsythia ovata
PIN14889.1,Handroanthus impetiginosus
KAA8542162.1,Nyssa sinensis
XP_059638879.1,Cornus florida
KAL2515215.1,Forsythia ovata
XUJ55407.1,Rauvolfia serpentina
KAL2515092.1,Forsythia ovata
KAL2515218.1,Forsythia ovata
XP_071902535.1,Coffea arabica
CAK9143472.1,Ilex paraguariensis
XP_009602470.1,Nicotiana tomentosiformis
KAL2515373.1,Forsythia ovata
PIN01255.1,Handroanthus impetiginosus
KAL2515346.1,Forsythia ovata
XP_016477365.1,Nicotiana tabacum
KAL3512592.1,Cinchona calisaya
XP_022862234.1,Olea europaea var. sylvestris
KAI3463653.1,Paulownia fortunei
KAI5669457.1,Catharanthus roseus
KAL7161773.1,Camellia fascicularis
KAL2492306.1,Abeliophyllum distichum
CAA2939542.1,Olea europaea subsp. europaea
KAL2515219.1,Forsythia ovata
XP_009773462.2,Nicotiana sylvestris
KAL2515216.1,Forsythia ovata
AAF28800.1,Catharanthus roseus
KAI5665029.1,Catharanthus roseus
ABW77570.1,Catharanthus roseus
AVH80943.1,Catharanthus roseus
KAI5665034.1,Catharanthus roseus
AFI71457.1,Rauvolfia verticillata
Q8GU20.1,Rauvolfia serpentina
YBV67927.1,Tabernanthe iboga
KAM7508712.1,Lonicera macranthoides
KAM7512045.1,Lonicera macranthoides
KAM7508710.1,Lonicera macranthoides
KAM7512042.1,Lonicera macranthoides
WNF20694.1,Mitragyna speciosa
KAL3533007.1,Cinchona calisaya
KAL3533003.1,Cinchona calisaya
9LF6_A,Gelsemium sempervirens
XP_059634684.1,Cornus florida
UTN00717.1,Centaurium erythraea subsp. erythraea
UTN00716.1,Centaurium erythraea subsp. erythraea
KAM7508701.1,Lonicera macranthoides
AES93119.1,Camptotheca acuminata
KAI5675797.1,Catharanthus roseus
KAM7511443.1,Lonicera macranthoides
KAM7508125.1,Lonicera macranthoides
KAK3034898.1,Escallonia herrerae
XP_058200437.1,Rhododendron vialii
KAA8549635.1,Nyssa sinensis
XP_059652677.1,Cornus florida
Q9SPP9.1,Rauvolfia serpentina
KAI5675780.1,Catharanthus roseus
KAI7991254.1,Camellia lanceoleosa
CAL5433809.1,Camellia sinensis
CAL5357933.1,Camellia sinensis
4ATD_A,Rauvolfia serpentina
XUU14067.1,Camptotheca acuminata
CAL5437784.1,Camellia sinensis
KAI8526351.1,Rhododendron molle
3U57_A,Rauvolfia serpentina
KAL7227099.1,Camellia fascicularis
XP_082755941.1,Camellia sinensis
GMQ00632.1,Camellia sinensis var. sinensis
KAL7199246.1,Camellia fascicularis
GLT57776.1,Shorea laevis
GMD25905.1,Ipomoea batatas
QCD88437.1,Vigna unguiculata
KAL3533004.1,Cinchona calisaya
XP_027910736.2,Vigna unguiculata
XP_027910735.2,Vigna unguiculata
KAL2481845.1,Abeliophyllum distichum
XP_027174620.1,Coffea eugenioides
Q05047.1,Catharanthus roseus
AAA17732.1,Catharanthus roseus
U5NDT8.1,Catharanthus roseus
AKF02530.1,Catharanthus roseus
KAI5669980.1,Catharanthus roseus
AAA17746.1,Catharanthus roseus
AGX93047.1,Rauvolfia serpentina
AGX93046.1,Amsonia hubrichtii
AGX93049.1,Vinca minor
XHC56421.1,Ochrosia elliptica
AGX93048.1,Tabernaemontana elegans
WIE96234.1,Mitragyna speciosa
KAL3537460.1,Cinchona calisaya
QWX38536.1,Ophiorrhiza pumila
WRW51048.1,Uncaria rhynchophylla
BAP90521.1,Ophiorrhiza pumila
WMS56962.1,Nothapodytes tomentosa
KAM7476746.1,Lonicera macranthoides
AGX93044.1,Lonicera japonica
KAM7472525.1,Lonicera macranthoides
KAM7476744.1,Lonicera macranthoides
AQW38832.1,Nothapodytes nimmoniana
AGX93045.1,Cinchona calisaya
KAM7472526.1,Lonicera macranthoides
WHM27864.1,Gentiana crassicaulis
KAL3537457.1,Cinchona calisaya
WHM27863.1,Gentiana crassicaulis
KAL3516465.1,Cinchona calisaya
XYA23384.1,Carapichea ipecacuanha
QAS69007.1,Swertia mussotii
BBI55002.1,Swertia japonica
WHM27862.1,Gentiana crassicaulis
QWX38538.1,Ophiorrhiza pumila
KAM7523456.1,Lonicera macranthoides
QWX38537.1,Ophiorrhiza pumila
KAM7528991.1,Lonicera macranthoides
KAL3502754.1,Cinchona calisaya
KAL3537465.1,Cinchona calisaya
QNL13416.1,Camptotheca acuminata
QDC27813.1,Camptotheca acuminata
KAA8526713.1,Nyssa sinensis
KAA8524066.1,Nyssa sinensis
KAM7523457.1,Lonicera macranthoides
QDC27812.1,Camptotheca acuminata
ADU19849.1,Camptotheca acuminata
KAA8526716.1,Nyssa sinensis
XYA23391.1,Alangium salviifolium
KAA8526717.1,Nyssa sinensis
QNL13418.1,Camptotheca acuminata
XP_059636257.1,Cornus florida
P18417.2,Catharanthus roseus
CAA37671.1,Catharanthus roseus
6ZEA_A,Catharanthus roseus
P68175.1,Rauvolfia serpentina
2FP8_A,Rauvolfia serpentina
8WKL_A,Rauvolfia serpentina
P68174.1,Rauvolfia mannii
6N5V_A,Rauvolfia serpentina
2FPB_A,Rauvolfia serpentina
2V91_A,Rauvolfia serpentina
AEY82399.1,Vinca minor
AEY82398.1,Tabernaemontana elegans
YGO55951.1,Gelsemium elegans
AXK92563.1,Gelsemium sempervirens
USE06681.1,Uncaria rhynchophylla
KAL3524955.1,Cinchona calisaya
WIE96235.1,Mitragyna speciosa
KAL3524956.1,Cinchona calisaya
ABZ79473.1,Mitragyna speciosa
XKQ11353.1,Cinchona pubescens
ADK91432.1,Mitragyna speciosa
6S5J_A,Ophiorrhiza pumila
BAB47180.1,Ophiorrhiza pumila
ACF21007.1,Ophiorrhiza japonica
KAL3509714.1,Cinchona calisaya
USZ80136.1,Uncaria rhynchophylla
YDH27071.1,Pogonopus speciosus
AFB70990.1,Mitragyna speciosa
KAL3512344.1,Cinchona calisaya
AEL97643.1,Amsonia tabernaemontana
KAM7471197.1,Lonicera macranthoides
KAM7502580.1,Lonicera macranthoides
KAM7479766.1,Lonicera macranthoides
KAM7497213.1,Lonicera macranthoides
KAM7497216.1,Lonicera macranthoides
KAM7479768.1,Lonicera macranthoides
KAM7502579.1,Lonicera macranthoides
XP_010663511.1,Vitis vinifera
XP_050238081.1,Mercurialis annua
KAM7471196.1,Lonicera macranthoides
KAJ4713290.1,Melia azedarach
KAM7478334.1,Lonicera macranthoides
KAM7479765.1,Lonicera macranthoides
XP_059639506.1,Cornus florida
XP_027088110.1,Coffea arabica
XP_071920386.1,Coffea arabica
KAK2997344.1,Escallonia herrerae
XP_027183854.1,Coffea eugenioides
XP_038688092.1,Tripterygium wilfordii
KAL3512343.1,Cinchona calisaya
U5HKE8.1,Catharanthus roseus
KAI5660806.1,Catharanthus roseus
KAI5660807.1,Catharanthus roseus
P98183.2,Catharanthus roseus
CAB56503.1,Catharanthus roseus
KAI5665014.1,Catharanthus roseus
KAI5660805.1,Catharanthus roseus
XDF89438.1,Tabernaemontana litoralis
XUJ55404.1,Tabernaemontana elegans
XP_027061897.1,Coffea arabica
A0A2Z5P2H9.1,Tabernanthe iboga
XP_071906309.1,Coffea arabica
XP_027127449.2,Coffea arabica
XP_027183678.1,Coffea eugenioides
XP_027063416.2,Coffea arabica
XP_027185027.1,Coffea eugenioides
XP_027183679.1,Coffea eugenioides
KAL3509419.1,Cinchona calisaya
KAI5660811.1,Catharanthus roseus
XP_031278227.1,Pistacia vera
A0A343URW6.1,Catharanthus roseus
XP_027115698.1,Coffea arabica
XP_027183307.1,Coffea eugenioides
KAL3503596.1,Cinchona calisaya
XP_027170055.1,Coffea eugenioides
XP_027185714.1,Coffea eugenioides
XP_027166633.1,Coffea eugenioides
XP_027120747.1,Coffea arabica
CDP10868.1,Coffea canephora
KAL3503594.1,Cinchona calisaya
CAK9155047.1,Ilex paraguariensis
KAI8010944.1,Camellia lanceoleosa
XP_027084371.1,Coffea arabica
XP_027063807.1,Coffea arabica
KAI5660685.1,Catharanthus roseus
XP_027061101.1,Coffea arabica
KAL7217797.1,Camellia fascicularis
CDP17724.1,Coffea canephora
CAL5392569.1,Camellia sinensis
GMP52207.1,Camellia sinensis var. sinensis
XP_071904372.1,Coffea arabica
THG16343.1,Camellia sinensis var. sinensis
XOK36673.1,Tabernaemontana elegans
XP_027061898.1,Coffea arabica
XP_027062512.1,Coffea arabica
CAK9155048.1,Ilex paraguariensis
XP_028065313.2,Camellia sinensis
XP_027170054.1,Coffea eugenioides
XP_027127107.1,Coffea arabica
KAL4618706.1,Castanea dentata
I1TEM1.1,Catharanthus roseus
CQR79400.1,Catharanthus roseus
KAI5650222.1,Catharanthus roseus
P0DO22.1,Catharanthus roseus
YCQ69669.1,Vinca minor
XP_027067856.1,Coffea arabica
XDF89439.1,Tabernaemontana litoralis
KAL3529971.1,Cinchona calisaya
XP_027170794.1,Coffea eugenioides
KAL2525457.1,Abeliophyllum distichum
KAK4435786.1,Sesamum alatum
XLZ13771.1,Tabernaemontana elegans
CAA3006604.1,Olea europaea subsp. europaea
KAL2525483.1,Abeliophyllum distichum
KAK4435787.1,Sesamum alatum
KAL2548329.1,Forsythia ovata
KAK4573502.1,Quercus rubra
KAL2548214.1,Forsythia ovata
KAL2548306.1,Forsythia ovata
XP_022856084.1,Olea europaea var. sylvestris
KAK7855284.1,Quercus suber
XP_023905960.2,Quercus suber
KAI5669459.1,Catharanthus roseus
CAA2986827.1,Olea europaea subsp. europaea
KAI3468318.1,Paulownia fortunei
KAK9993082.1,Lithocarpus litseifolius
ACD42776.1,Catharanthus roseus
XP_030933655.1,Quercus lobata
XP_062160324.1,Alnus glutinosa
KAL2517591.1,Abeliophyllum distichum
AAO32822.1,Catharanthus roseus
XP_027182740.1,Coffea eugenioides
XP_027080461.1,Coffea arabica
CAA2966524.1,Olea europaea subsp. europaea
KAH7849083.1,Vaccinium darrowii
KAL2548246.1,Forsythia ovata
KAI5669456.1,Catharanthus roseus
KAL2517573.1,Abeliophyllum distichum
KAM3731377.1,Castanea mollissima
XP_027182738.1,Coffea eugenioides
KAI3468346.1,Paulownia fortunei
XP_071925432.1,Coffea arabica
XP_027070717.2,Coffea arabica
XP_022863012.1,Olea europaea var. sylvestris
KAI3468347.1,Paulownia fortunei
XP_050252286.1,Quercus robur
KAK2968207.1,Escallonia rubra
KAK2977178.1,Escallonia rubra
KAK3033177.1,Escallonia herrerae
BAN58140.1,Hyoscyamus albus
A0A161CAI1.1,Catharanthus roseus
AKM12281.1,Catharanthus roseus
KAI5666878.1,Catharanthus roseus
KAI5666894.1,Catharanthus roseus
KAI5666869.1,Catharanthus roseus
KAI5666879.1,Catharanthus roseus
WPM01482.1,Rauvolfia tetraphylla
KAI5672516.1,Catharanthus roseus
AKF02528.1,Catharanthus roseus
5FI3_A,Catharanthus roseus
WKU61922.1,Rauvolfia serpentina
WPM01480.1,Rauvolfia tetraphylla
KAI5669985.1,Catharanthus roseus
KAI5666901.1,Catharanthus roseus
ANQ45225.1,Catharanthus roseus
ANQ45224.1,Catharanthus roseus
5H83_A,Catharanthus roseus
KAI5669914.1,Catharanthus roseus
WPM01477.1,Rauvolfia tetraphylla
WPM01478.1,Rauvolfia tetraphylla
XP_051127384.1,Andrographis paniculata
XP_042025790.1,Salvia splendens
VFQ99671.1,Cuscuta campestris
MIH5255354.1,Unknown
KAL3625110.1,Castilleja foliolosa
CAP0063242.1,Coleus comosus x Coleus neochilus
RAL43631.1,Cuscuta australis
CAA2969393.1,Olea europaea subsp. europaea
CAI9753221.1,Fraxinus pennsylvanica
XHC56414.1,Ochrosia elliptica
AZB52815.1,Centranthera grandiflora
CAA2969394.1,Olea europaea subsp. europaea
KAH6837513.1,Perilla frutescens var. hirtella
CAO9954191.1,Coleus comosus x Coleus neochilus
VFQ88112.1,Cuscuta campestris
P0DXJ3.1,Rauvolfia serpentina
XHA77571.1,Gelsemium sempervirens
KAL8514819.1,Phlomoides rotata
KAN8657924.1,Castilleja parviflora
KAH6799415.1,Perilla frutescens var. frutescens
KAK4490413.1,Penstemon davidsonii
P17770.1,Catharanthus roseus
AYA72254.1,Catharanthus roseus
6EEW_A,Catharanthus roseus
WMM65729.1,Rauvolfia tetraphylla
ABP96805.1,Rauvolfia verticillata
AEY82397.1,Vinca minor
AEY82396.1,Tabernaemontana elegans
AXK92562.1,Gelsemium sempervirens
XP_019263725.1,Nicotiana attenuata
XP_009622485.1,Nicotiana tomentosiformis
XP_016465650.1,Nicotiana tabacum
XKQ11358.1,Cinchona pubescens
XP_009760717.2,Nicotiana sylvestris
XP_027061199.2,Coffea arabica
KAL3509742.1,Cinchona calisaya
QLQ34389.1,Ophiorrhiza pumila
KAK4368509.1,Anisodus tanguticus
KAJ8568829.1,Anisodus acutangulus
KAL3509537.1,Cinchona calisaya
XP_027061221.1,Coffea arabica
PHT76536.1,Capsicum annuum
KAK4714279.1,Solanum pinnatisectum
XP_027172386.1,Coffea eugenioides
XP_071904882.1,Coffea arabica
XP_016580730.1,Capsicum annuum
XP_027172752.1,Coffea eugenioides
KAM3395480.1,Capsicum galapagoense
XP_027172662.1,Coffea eugenioides
KAF8411242.1,Tetracentron sinense
XP_015160638.1,Solanum tuberosum
KAM3301727.1,Capsicum chacoense
CDP11776.1,Coffea canephora
PHU12264.1,Capsicum chinense
PHU12265.1,Capsicum chinense
XP_027063707.1,Coffea arabica
PHT43311.1,Capsicum baccatum
KAK6785055.1,Solanum bulbocastanum
XP_059284124.1,Lycium ferocissimum
XP_060189824.1,Lycium barbarum
NP_001312016.1,Capsicum annuum
KAN2019259.1,Solanum demissum
KAN2064893.1,Solanum demissum
TMW84277.1,Solanum chilense
KAM3301726.1,Capsicum chacoense
KAF3633288.1,Capsicum annuum
KAO0575152.1,Solanum pimpinellifolium
KAH0656272.1,Solanum tuberosum
PHT76535.1,Capsicum annuum
KAM3395479.1,Capsicum galapagoense
CAQ5420717.1,Solanum cheesmaniae
KAL3507920.1,Cinchona calisaya
KAL3507921.1,Cinchona calisaya
